source_row_hash,kontraktsdatum,publiceringsdatum,tilltradesdatum,municipality_name,brf_org_nummer,fastighetsbeteckning,adress,slutpris,utgangspris,pris_idag,kr_per_kvm,budpremie_kr,budpremie_pct,rum,boa_kvm,vaning,vaningar,hiss,balkong,varme_gemensam,bostadstyp,byggar,nyprod,manadsavg,arsavg_per_kvm,annonstid_dagar,source_name
e0d1bcc09aac1621b4f285ece8af7eb32b12795d,2023-05-19,2022-07-15,2023-08-03,Gävle,785000-3281,SÖDERTULL 41:11,Sörbygatan 71F,1030000,1030000,1054267,21684,0,0.0,2.0,47.5,2,4,True,False,False,lagenhet,1973,False,3091,781,308,VD Pro
2afe4859f9cd96fb12533a684fe15f1ba7f95bd8,2023-05-19,2023-04-18,2023-08-30,Gävle,785000-0303,FORSBACKA 3:2,Rosendalsgatan 5,810000,895000,797740,12462,-85000,-9.49,3.0,65.0,2,3,False,True,True,lagenhet,1956,False,5026,928,31,VD Pro
1a146e17fd74a579075cf8b90d2e86330fd2b857,2023-05-18,2023-04-28,2023-06-20,Gävle,785000-0188,VÄSTER 17:6,Byggmästargatan 17 B,1625000,1695000,1623036,30093,-70000,-4.12,2.0,54.0,3,3,False,True,False,lagenhet,,False,2587,575,20,VD Pro
93f35af549c6d10688605d08e27a33176cf906b4,2023-05-18,2023-04-03,2023-06-28,Gävle,769635-8394,HEMLINGBY 73:1,Geodetgatan 29,1750000,1750000,1791231,24306,0,0.0,3.0,72.0,2,3,True,True,True,lagenhet,,False,4601,767,45,VD Pro
c7cb3291b3e7ec2dcb2d38ea48652273f95a6a00,2023-05-18,2023-03-13,2023-09-19,Gävle,716413-6702,FURUVIK 33:2,Lövlundsvägen 43b,1700000,1700000,1740053,23611,0,0.0,2.0,72.0,,,False,False,False,radhus,1991,False,4672,779,65,VD Pro
e8f02283ab8453f1689dec961bf31a249cb05d66,2023-05-18,2023-03-27,2023-07-13,Gävle,785000-2085,SÖDER 75:5,Södra Kansligatan 30,1310000,1395000,1308417,34474,-85000,-6.09,2.0,38.0,3,6,True,False,True,lagenhet,1957,False,2047,646,52,VD Pro
f263ba14ae2fb75b9cc6e7dbfde65af5dbdbce98,2023-05-17,2022-07-20,2023-07-24,Gävle,769628-1968,SÖDER 66:10,Muréngatan 20 A,2095000,2095000,2144359,38582,0,0.0,2.0,54.3,14,15,True,False,True,lagenhet,2016,False,3439,760,301,VD Pro
441fdb5fce68e68ee12cb96e7505280d368bb800,2023-05-17,2023-02-16,2023-08-31,Gävle,785000-3273,SÄTRA 80:2,Fältspatvägen 14 D,1500000,1695000,1477296,15512,-195000,-11.5,4.0,96.7,,,False,False,False,radhus,1970,False,5078,630,89,VD Pro
f9828d88b0284c63f6d384547e5d52d506c6ed16,2023-05-17,2023-04-21,2023-09-28,Gävle,785000-0428,SÖRBY 10:13,Falkvägen 15C,3500000,3495000,3495771,32468,5000,0.14,5.0,107.8,,,False,False,False,radhus,1963,False,4472,498,26,VD Pro
155b745f3c9a564c31b3b8c83be5ba8a2bc9a161,2023-05-17,2023-04-03,2023-06-20,Gävle,716413-3634,STIGSLUND 36:1,Laxgången 28B,1900000,1990000,1897704,25676,-90000,-4.52,3.0,74.0,2,2,False,True,False,lagenhet,1983,False,4442,720,44,VD Pro
bfdc1bd961735738e8531e8ef25a81617b4e6534,2023-05-17,2023-05-05,2023-08-16,Gävle,785000-3463,SÄTRA 30:1,Älgpasset 11A,1590000,1600000,1565934,14860,-10000,-0.62,4.0,107.0,,,False,True,False,lagenhet,1973,False,6388,716,12,VD Pro
a979e0b40702bf7eca27660bda97e4fa5196e33b,2023-05-16,2023-05-10,2023-08-13,Gävle,769638-2311,BRYNÄS 11:6,Södra fiskargatan 6A,1395000,1395000,1427867,24474,0,0.0,2.0,57.0,2,3,False,True,False,lagenhet,1946,False,2969,625,6,VD Pro
3af29cede0d1f9f3139837a3b4749b8ad0f296e4,2023-05-16,2023-03-28,2023-07-31,Gävle,785000-1087,SÖDER 12:3,Brunnsgatan 53 C,1450000,1495000,1448248,25664,-45000,-3.01,2.0,56.5,2,3,False,False,True,lagenhet,1942,False,3992,848,49,VD Pro
c55b5926581857e357b50eb428dbb736db25ac6a,2023-05-13,2023-05-03,2023-06-28,Gävle,785000-2085,SÖDER 48:5,Södra Kansligatan 26,1150000,1150000,1148610,33333,0,0.0,1.0,34.5,5,6,True,True,True,lagenhet,1957,False,1907,663,10,VD Pro
fead2ed4d722ca3c7e219de4381ac3dff09b1e4a,2023-05-12,2023-02-06,2023-07-19,Gävle,785000-2812,SÖDER 52:5,Kålhagsgatan 4B,1710000,,1707934,28983,,,2.0,59.0,3,8,True,True,False,lagenhet,,False,3177,646,94,VD Pro
a5339ecc2d6b3c121fdee6c42518e19bcccf920c,2023-05-12,,2023-07-31,Gävle,716413-4863,BRYNÄS 83:4,Brynäsgatan 77,750000,795000,767670,9036,-45000,-5.66,3.0,83.0,2,4,True,False,True,lagenhet,1984,False,5346,773,,VD Pro
12580afd048bbbada491e790388c4cb0f3de9794,2023-05-12,2023-04-27,2023-09-14,Gävle,716413-5100,NORRTULL 25:12,Kaplansgatan 24,2550000,2495000,2546919,40476,55000,2.2,2.0,63.0,3,3,False,False,False,lagenhet,1901,False,4182,797,15,VD Pro
8ce48851d73208d0e8da06c99eed868158760bc3,2023-05-12,2023-04-29,2023-08-24,Gävle,716413-4921,BRYNÄS 6:2,Brynäsgatan 1,1900000,1995000,1944765,19000,-95000,-4.76,2.0,100.0,5,5,True,False,False,lagenhet,1896,False,6613,794,13,VD Pro
f030afcf720d881bdc2deb99531a19af5752ffa0,2023-05-12,2023-04-29,2023-08-03,Gävle,785000-1582,STIGSLUND 43:3,Furumovägen 18,1525000,1550000,1523157,20890,-25000,-1.61,3.0,73.0,7,9,True,True,False,lagenhet,,False,3690,607,13,VD Pro
415b0d109994b80646719901975db9f54fb6d6b6,2023-05-11,2023-04-24,2023-06-08,Gävle,769635-8352,HEMLINGBY 73:2,Geodetgatan 37,1350000,1395000,1381807,24545,-45000,-3.22,2.0,55.0,3,3,True,False,False,lagenhet,2019,False,3974,867,17,VD Pro
4a33b8b54d627e214ddf120a365e845468fb0ce8,2023-05-11,2023-03-24,2023-06-15,Gävle,716413-4590,SÄTRA 161:1,Stenbärsvägen 49B,1015000,1045000,999637,15859,-30000,-2.87,2.0,64.0,,,False,False,False,villa,1983,False,4319,810,47,VD Pro
24e3c53bf9929adff96510b9c33a0a1e1ae81039,2023-05-10,2022-04-09,2023-06-15,Gävle,769639-0009,BRYNÄS 51:9,Första Tvärgatan 23B,1430000,1375000,1463691,21029,55000,4.0,3.0,68.0,3,3,False,False,True,lagenhet,1963,False,3627,640,396,VD Pro
429049e9314f06fb76487cb1ec4f794b1e12f891,2023-05-10,2023-04-28,2023-08-20,Gävle,785000-0303,FORSBACKA 3:2,Rosendalsgatan 7,940000,950000,925772,14506,-10000,-1.05,3.0,64.8,1,3,False,False,True,lagenhet,1956,False,5010,928,12,VD Pro
fa600660b3f285d73a73f8495ce58ee528e79199,2023-05-10,2023-04-17,2023-06-08,Gävle,785000-1632,SÖDER 50:6,Sockerbruksgatan 48 B,1500000,1590000,1498187,20862,-90000,-5.66,3.0,71.9,3,9,True,False,False,lagenhet,1958,False,3525,588,23,VD Pro
8267981f120d476a3b50c79ed3384356a060e0c6,2023-05-09,2023-03-21,2023-08-03,Gävle,769610-0341,VALLBACKEN 6:1,Kungsbäcksvägen 7,2700000,2850000,2696737,36000,-150000,-5.26,3.0,75.0,2,2,False,False,False,lagenhet,1896,False,4036,646,48,VD Pro
fb80ef5987f7a7312d6c167a92fa2326fcd1ed8f,2023-05-09,2023-04-18,2023-06-20,Gävle,769619-1258,OLSBACKA 44:2,Drejargatan 4,1405000,1250000,1403302,26019,155000,12.4,2.0,54.0,2,2,False,True,False,lagenhet,1943,False,4011,891,21,VD Pro
12e589234a47ca8fa34218a381b52b5be666a7ba,2023-05-08,2023-04-06,2023-07-02,Gävle,785000-2127,SÄTRA 19:6,Norrbågen 31 A,1050000,1150000,1034107,13376,-100000,-8.69,3.0,78.5,2,2,False,False,True,lagenhet,1968,False,3988,610,32,VD Pro
a59a30782710e0460ecc4f9ad69a278b22318aa5,2023-05-08,2023-05-09,2023-06-29,Gävle,785000-0352,VÄSTER 24:19,Byggmästargatan 4A,750000,750000,749093,34562,0,0.0,1.0,21.7,1,4,True,True,True,lagenhet,1952,False,1650,912,-1,VD Pro
875710aba04935b27fccad206ca839d9ec3d5252,2023-05-08,2023-04-17,2023-06-15,Gävle,785000-0261,NORRTULL 26:8,Norra Slottsgatan 19,1350000,1350000,1348368,23356,0,0.0,2.0,57.8,2,6,True,False,False,lagenhet,1956,False,2343,486,21,VD Pro
53add86b6d4e7b18b32ef6853abd119ff5d0f891,2023-05-08,2023-04-21,2023-09-07,Gävle,785000-0279,FORSBACKA 3:3,Mariagatan 2B,650000,650000,640161,12037,0,0.0,2.0,54.0,33,3,False,False,False,lagenhet,1957,False,3049,678,17,VD Pro
4557c3ed8af16d8bbc44efde0951b8603c803033,2023-05-07,2023-05-07,2023-08-31,Gävle,769639-3805,FREDRIKSSKANS 2:86,Sekatörsslingan 66,3000000,,2996375,25000,,,6.0,120.0,,,False,False,False,lagenhet,2022,False,6693,669,0,VD Pro
72fda19e120298ffc9da47efaba2db6dcd055f28,2023-05-05,2023-05-05,2023-06-29,Gävle,785000-0410,VÄSTER 10:5,Brändströmsgatan 13A,1800000,,1797825,21951,,,3.0,82.0,3,3,False,True,False,lagenhet,,False,3739,547,0,VD Pro
82fcb609d30ce84fb0b4dbbe19a1858333afcc87,2023-05-05,2022-09-09,2023-06-08,Gävle,716413-5100,NORRTULL 25:12,Norra skeppargatan 23B,1380000,1395000,1378332,31364,-15000,-1.07,2.0,44.0,3,4,True,True,False,lagenhet,1988,False,2879,785,238,VD Pro
b4127787453a0adb1407c0284eb7e175adc31562,2023-05-04,2023-03-22,2023-07-30,Gävle,769610-0523,VÄSTER 17:1,Engelbrektsgatan 8 M,3000000,3250000,2996375,23256,-250000,-7.69,5.0,129.0,3,3,False,False,False,lagenhet,1921,False,7225,672,42,VD Pro
29ac1190397b7cc78b73ee9b95684a788f88da20,2023-05-03,2023-03-08,2023-09-20,Gävle,716413-5480,SÄTRA 168:1,Vinbärsvägen 197 D,1000000,1150000,984864,12500,-150000,-13.04,3.0,80.0,,,False,False,False,villa,1989,False,5157,774,55,VD Pro
a987e8ac3ce6b68825c62d20f147cfeea504c702,2023-05-03,2023-02-15,2023-07-04,Gävle,769628-1968,SÖDER 66:10,Muréngatan 20 B,1750000,1750000,1791231,31646,0,0.0,2.0,55.3,4,15,True,False,True,lagenhet,2016,False,3535,767,76,VD Pro
aedc1c2997ec1cdcafe0390d8fedc0d75c6f059f,2023-05-03,2023-04-12,2023-07-13,Gävle,785000-2127,SÄTRA 19:5,Norrbågen 43 C,1350000,1425000,1329567,16364,-75000,-5.26,3.0,82.5,1,2,False,False,True,lagenhet,1968,False,4083,594,21,VD Pro
d4c8bf6e0d588168a28b3637b1a5c34fb75b09bf,2023-05-02,2023-03-20,2023-07-16,Gävle,769623-5675,VALLBACKEN 18:8,Eddagatan 18,1820000,1795000,1817801,23636,25000,1.39,3.0,77.0,2,3,False,False,False,lagenhet,,False,3629,566,42,VD Pro
35783abe2df27731cd4cd8a310aaf74447b78bd4,2023-05-02,2023-05-02,2023-08-03,Gävle,716458-5635,SÄTRA 173:2,Primulavägen 11A,1150000,,1132594,13939,,,3.0,82.5,,,False,False,True,radhus,1992,False,5897,858,0,VD Pro
34073d86deba78d5c99431c6ff18b9bad7efc8ed,2023-04-29,2023-04-06,2023-07-16,Gävle,785000-1574,VÄSTER 11:20,Västra vägen 26A,2280000,1995000,2269626,27143,285000,14.28,3.0,84.0,1,2,False,True,False,lagenhet,,False,4457,637,23,VD Pro
bf1fc01429bdca5d89adefd5f9778026c1abad73,2023-04-29,2023-02-24,2023-05-31,Gävle,716413-4913,SÄTRA 164:1,Krusbärsvägen 11 C,1150000,1200000,1124339,10360,-50000,-4.16,4.0,111.0,,,False,False,False,villa,1987,False,5953,644,63,VD Pro
6ba98f32a515512cb280240bd9a759e86d13270d,2023-04-29,2023-02-03,2023-07-13,Gävle,769627-6141,VILLASTADEN 27:11,Fredriksdalsvägen 4C,1850000,1895000,1841582,22561,-45000,-2.37,4.0,82.0,3,3,False,False,False,lagenhet,1946,False,6405,937,84,VD Pro
3f0bee9d13d7e051b2f1e818a37eb6657e45586d,2023-04-28,2023-03-31,2023-06-19,Gävle,785000-3141,SÄTRA 79:1,Fältspatvägen 40,790000,895000,772372,12154,-105000,-11.73,2.0,65.0,5,4,True,False,False,lagenhet,1968,False,3016,557,28,VD Pro
fd57ab48b46409c798672dff61b50713c75b85ab,2023-04-28,2023-04-21,2023-07-13,Gävle,716413-6314,SÖDERTULL 22:6,Kaserngatan 62,1395000,1395000,1420715,20821,0,0.0,2.0,67.0,3,5,True,True,False,lagenhet,1990,False,4040,724,7,VD Pro
d95dbc2a04639c943f91ebd3a1f1378f4651e871,2023-04-28,2023-04-14,2023-07-26,Gävle,785000-1194,NORRTULL 30:9,Norra Gatan 2,2065000,1975000,2055604,18114,90000,4.55,5.0,114.0,4,5,True,False,True,lagenhet,1952,False,5644,594,14,VD Pro
f78a7c8c311f801b88e7c814fcde702adc0fb92b,2023-04-28,2023-04-06,2023-05-30,Gävle,716413-3634,STIGSLUND 56:1,Laxgången 64 B,1995000,1995000,1985923,26959,0,0.0,3.0,74.0,,,False,False,False,radhus,1983,False,4989,809,22,VD Pro
309c1017afc38dc03de9326c23fb45c21d3f11b5,2023-04-27,2022-09-06,2023-06-11,Gävle,716413-4590,SÄTRA 161:1,Stenbärsvägen 39 E,1075000,1150000,1051012,11559,-75000,-6.52,4.0,93.0,,,False,False,False,radhus,1985,False,5813,750,233,VD Pro
87cfb018456293f0a709c999a4b29200373c312b,2023-04-27,2023-04-14,2023-07-03,Gävle,785000-2705,VÄSTER 18:7,Valbogatan 12A,1550000,1650000,1542947,28704,-100000,-6.06,2.0,54.0,2,3,False,True,False,lagenhet,1944,False,3210,713,13,VD Pro
3fb32daa5b1c4a496e7ff47d5f125eb74b3a66e1,2023-04-27,2023-02-28,2023-05-11,Gävle,785000-2028,STIGSLUND 51:2,Tallåsvägen 18 B,1300000,1395000,1294085,17219,-95000,-6.81,3.0,75.5,2,3,False,False,False,lagenhet,1961,False,3900,620,57,VD Pro
4db9b7dd80e45257c5bfe7141aea5966ee9d303d,2023-04-27,2023-03-23,2023-06-01,Gävle,785000-3356,SÖDER 42:2,Södra Kopparslagargatan 13B,1675000,1695000,1705876,27686,-20000,-1.17,2.0,60.5,1,5,True,False,False,lagenhet,,False,2800,555,34,VD Pro
e6ed0c6b44a12dab56daad1e37fddf419a4c4584,2023-04-27,,2023-07-31,Gävle,785000-0311,STIGSLUND 51:4,Tallåsvägen 8,1395000,1395000,1388652,22178,0,0.0,2.0,62.9,3,4,False,False,False,lagenhet,1960,False,3034,579,,VD Pro
a683095a6ada660505b204a7d13d38dc0ba25dd0,2023-04-27,2023-04-01,2023-07-13,Gävle,716413-5480,SÄTRA 168:1,Vinbärsvägen 189C,1200000,1295000,1173223,10811,-95000,-7.33,4.0,111.0,,,False,False,False,radhus,1957,False,6504,703,26,VD Pro
2c36eb44d00aafc2097a45145e35c6c584194e78,2023-04-27,2023-04-03,2023-07-09,Gävle,785000-0303,FORSBACKA 3:2,Mariagatan 8,610000,650000,596388,11193,-40000,-6.15,2.0,54.5,3,3,False,True,True,lagenhet,1956,False,4214,928,24,VD Pro
a4dd0045492139b7622776bd185f6c2edb06dcac,2023-04-27,2023-04-26,2023-05-24,Gävle,785000-2614,STIGSLUND 43:5,Furumovägen 10,1270000,1180000,1264221,30976,90000,7.62,1.0,41.0,8,9,True,True,False,lagenhet,1959,False,2161,632,1,VD Pro
ec2dc4c1299ca5b15aa181596aa67bcc9acbcd8a,2023-04-27,2023-04-04,2023-08-31,Gävle,769636-5688,HEMLINGBY 74:1,Geodetgatan 34A,3295000,3295000,3355739,25742,0,0.0,4.0,128.0,,,False,True,False,radhus,2020,False,7307,685,23,VD Pro
97ca4b51b0e0206b0a5cb6a45ed7b5459244e494,2023-04-27,2023-03-28,2023-06-29,Gävle,769623-4025,OLSBACKA 51:3,Liljevägen 14,1550000,1550000,1542947,28182,0,0.0,2.0,55.0,3,3,True,True,True,lagenhet,,False,3671,801,30,VD Pro
90615d28dd5f9128104b06d8510a3f18cc7891c8,2023-04-27,2022-09-21,2023-05-21,Gävle,785000-1152,NORRTULL 21:9,Norra Skeppargatan 29 B,1635000,1695000,1627561,21800,-60000,-3.53,3.0,75.0,1,3,False,False,False,lagenhet,1946,False,4515,722,218,VD Pro
721f300f665b29eb88746a05d717938563694ebc,2023-04-26,2021-07-03,2023-08-31,Gävle,785000-3356,SÖDER 41:3,Södra Kopparslagargatan 16A,2995000,2995000,3050209,33652,0,0.0,3.0,89.0,3,5,True,True,False,lagenhet,,False,3965,535,662,VD Pro
7247ae513eee606e2f24e9edebe14eb1b3739c08,2023-04-26,2023-02-22,2023-07-31,Gävle,785000-2127,SÄTRA 19:3,Ulvsmygen 3,890000,1050000,870140,10854,-160000,-15.23,3.0,82.0,4,4,True,False,True,lagenhet,1968,False,4280,626,62,VD Pro
166f9381e7639532c0ede29510dfb5bac3f1461e,2023-04-26,2023-03-15,2023-06-29,Gävle,716413-6512,SÄTRA 172:1,Krusbärsvägen 2 C,1050000,995000,1026570,9502,55000,5.52,4.0,110.5,,0,False,True,True,radhus,1990,False,8136,884,41,VD Pro
86ef53265d009ab4b5e81bc163861dd23cd7c8a3,2023-04-25,,2023-08-31,Gävle,769630-8704,SÖDERTULL 25:2,"Södra kungsgatan 55B, 1tr",2425000,2395000,2469702,30313,30000,1.25,3.0,80.0,2,4,True,True,False,lagenhet,2017,False,3812,572,,VD Pro
57146dbea2763159aab479ce50ceae0117caeeb6,2023-04-24,2022-10-04,2023-07-02,Gävle,785000-1442,NORRTULL 27:20,Norra Slottsgatan 16,1020000,1095000,1015359,26020,-75000,-6.84,1.0,39.2,1,5,True,False,False,lagenhet,1961,False,1870,572,202,VD Pro
598c928c782514fa6a7af636cccb16d5baa9e6a8,2023-04-24,2023-04-07,2023-06-01,Gävle,716413-4863,BRYNÄS 83:4,Brynäsgatan 113,1300000,1175000,1323963,16667,125000,10.63,3.0,78.0,,3,True,False,True,lagenhet,1984,False,4596,707,17,VD Pro
bd6b3259b28251f1458bb6b596f4c759772c6bc3,2023-04-24,2023-03-22,2023-08-06,Gävle,785000-0410,VÄSTER 10:5,Brändströmsgatan 11B,1495000,1495000,1488197,29900,0,0.0,2.0,50.0,2,3,False,True,False,lagenhet,,False,2519,605,32,VD Pro
bfed2a419f071d2ff1f1d4d961fe1b2e7df1c007,2023-04-24,2023-01-30,2023-05-25,Gävle,785000-2085,SÖDER 75:5,Södra Kansligatan 32,1110000,1100000,1104949,29211,10000,0.9,1.0,38.0,2,7,True,False,False,lagenhet,,False,2019,638,83,VD Pro
31897af08d915a7df991de321ce41f8ebf9b03ce,2023-04-23,2023-04-18,2023-08-08,Gävle,769627-9699,VARVA 1:65,Persbackavändan 18 B,2975000,2895000,2908616,27546,80000,2.76,4.0,108.0,,,False,False,False,radhus,2015,False,5300,589,5,VD Pro
a499501749cd7ce0a88c505f3fdb8deaa45e8c78,2023-04-23,2023-03-06,2023-06-18,Gävle,785000-2689,SÖDERTULL 14:1,Fleminggatan 6 D,2600000,2695000,2588170,44828,-95000,-3.52,3.0,58.0,,2,False,False,False,radhus,1944,False,3173,656,47,VD Pro
fa45dcbd05d3436ac5bb3a4b15fab95e4672f13d,2023-04-22,2022-10-25,2023-10-08,Gävle,716413-3576,ANDERSBERG 30:1,Brisgatan 62,1785000,1785000,1776878,16227,0,0.0,4.0,110.0,,2,False,False,False,lagenhet,1976,False,4276,466,179,VD Pro
e57133b83215e874d34e537d95c88ce7a8eb7efb,2023-04-22,2022-11-25,2023-06-01,Gävle,769622-7557,NORR 29:3,Norra Skeppargatan 3C,860000,925000,856087,34400,-65000,-7.02,1.0,25.0,2,3,True,False,False,lagenhet,1954,False,1068,513,147,VD Pro
e77381a48f0c4034df930cfe1e8365267cfed877,2023-04-22,2023-03-14,2023-07-02,Gävle,785000-0386,VALLBACKEN 27:10,Kaserngatan 21B,1250000,1275000,1244312,24950,-25000,-1.96,2.0,50.1,1,3,False,False,False,lagenhet,1900,False,3614,866,38,VD Pro
2c475833d66d67858fe149cf782295c8412a35e5,2023-04-21,2021-10-15,2023-07-20,Gävle,785000-3109,BRYNÄS 23:7,Femte tvärgatan 20,1290000,1270000,1313779,19254,20000,1.57,2.0,67.0,1,4,True,True,False,lagenhet,,False,3081,552,553,VD Pro
50ff8370d135a87725f0ae2a569cae49470505a5,2023-04-21,2023-04-07,2023-06-27,Gävle,785000-0410,VÄSTER 10:2,Brändströmsgatan 17B,1465000,1475000,1458334,29898,-10000,-0.67,2.0,49.0,3,3,False,True,False,lagenhet,,False,2437,597,14,VD Pro
4e60412919300fa2e2fb98efb83fabc52d4253cd,2023-04-20,2023-02-23,2023-07-19,Gävle,785000-2614,STIGSLUND 43:5,Furumovägen 12,1695000,1695000,1687288,23574,0,0.0,3.0,71.9,4,10,True,False,False,lagenhet,,False,3123,521,55,VD Pro
4ddbe3e855f9bb71f42f1dcc36e96ce663f7f048,2023-04-20,2023-04-06,2023-05-16,Gävle,716413-5423,VÄSTER 25:20,Staketgatan 12B,1100000,1195000,1094995,17886,-95000,-7.94,2.0,61.5,1,4,True,False,False,lagenhet,1962,False,3724,727,14,VD Pro
8ff07bc2ead57fa035f1cdc61e7f7003e5ccb0ea,2023-04-20,2023-03-28,2023-06-14,Gävle,785000-2085,SÖDER 75:5,Södra Kansligatan 30,1650000,1675000,1642492,25000,-25000,-1.49,2.0,66.0,2,6,True,False,True,lagenhet,1958,False,3117,567,23,VD Pro
65110dbd729af5e093f2043f5f03ec6d37c9d509,2023-04-20,2023-04-06,2023-08-24,Gävle,785000-2689,SÖDERTULL 14:1,Vallongatan 14G,2015000,1895000,2005832,34563,120000,6.33,2.0,58.3,3,2,False,False,False,radhus,1944,False,3173,653,14,VD Pro
a1263458bc34258effd662a77484018abf2a9615,2023-04-19,2023-03-31,2023-05-15,Gävle,785000-0204,LILLHAGEN 45:1,Lillhagsvägen 6 A,1400000,1495000,1368760,14737,-95000,-6.35,4.0,95.0,,,False,False,False,radhus,1965,False,3800,480,19,VD Pro
4d12feb4c5cec49d68d8582ae88810470cd4c74a,2023-04-19,2023-04-06,2023-06-01,Gävle,716413-4079,BJÖRSJÖ 40:1,Pukslagarvägen 62,1075000,1150000,1051012,13608,-75000,-6.52,3.0,79.0,,,False,False,False,radhus,1983,False,6320,960,13,VD Pro
86afd227b5bdab6f921a5b4bfa32789e178280b6,2023-04-19,2023-03-15,2023-08-14,Gävle,716458-6229,VALBO-ÖN 6:68,Mackmyravägen 34,1195000,1195000,1168335,14226,0,0.0,3.0,84.0,2,2,False,False,True,lagenhet,1929,False,6420,917,34,VD Pro
c249268d7d6c37644c606c5b3fb975f5dd931226,2023-04-19,2023-03-08,2023-06-29,Gävle,716413-3758,BJÖRSJÖ 37:1,Trumslagarvägen 19 D,1375000,1375000,1344318,14865,0,0.0,3.5,92.5,,,False,False,True,radhus,1982,False,6623,859,41,VD Pro
3e9d5d182b2e53412a61fa44e7ad3ce0a02b72fe,2023-04-18,2022-11-23,2023-05-30,Gävle,769628-6611,MARKHEDEN 4:2,Skolvägen 12 X,1575000,1675000,1539855,20724,-100000,-5.97,3.0,76.0,2,2,False,False,False,lagenhet,2015,False,4300,679,145,VD Pro
9751f14ccfc887b20edc0de5183c7cebd75fb787,2023-04-18,2023-01-18,2023-05-14,Gävle,785000-2101,SÖDER 61:8,Södra rådmansgatan 29B,1050000,975000,1069355,20588,75000,7.69,2.0,51.0,1,3,False,True,False,lagenhet,1955,False,2517,592,89,VD Pro
c794bbc130aa741bae3c31cae60940a4f00f961b,2023-04-18,2023-03-10,2023-05-22,Gävle,785000-2465,STIGSLUND 42:1,Källsätersvägen 19H,1850000,2095000,1841582,22840,-245000,-11.69,4.0,81.0,,,False,False,True,radhus,1958,False,4200,622,38,VD Pro
